43# Number of electrodes
# x z
0	0
2	0
4	0
6	0
8	0
10	0
12	0
14	0
16	0
18	0
20	0
22	0
24	0
26	0
28	0
30	0
32	0
34	0
36	0
38	0
40	0
42	0
44	0
46	0
48	0
50	0
52	0
54	0
56	0
58	0
60	0
62	0
64	0
66	0
68	0
70	0
72	0
74	0
76	0
78	0
80	0
82	0
84	0
446 #Number of data
#a	b	m	n	rhoa	err
 13.0	15.0	22.0	23.0	15.47	0.2
 14.0	16.0	23.0	24.0	43.41	0.2
 16.0	17.0	24.0	26.0	2316.54	0.2
 15.0	17.0	24.0	25.0	14.59	0.2
 17.0	18.0	25.0	27.0	2586.57	0.2
 18.0	19.0	26.0	28.0	1282.39	0.2
 19.0	20.0	27.0	29.0	678.95	0.2
 20.0	21.0	28.0	30.0	142.15	0.2
 21.0	22.0	29.0	31.0	55.61	0.2
 22.0	23.0	30.0	32.0	45.84	0.2
 24.0	25.0	32.0	34.0	5.42	0.2
 25.0	26.0	33.0	35.0	1.26	0.2
 24.0	26.0	33.0	34.0	2090.37	0.2
 25.0	27.0	34.0	35.0	2839.05	0.2
 26.0	28.0	35.0	36.0	1696.05	0.2
 27.0	29.0	36.0	37.0	627.35	0.2
 28.0	30.0	37.0	38.0	208.53	0.2
 29.0	31.0	38.0	39.0	141.66	0.2
 31.0	32.0	39.0	41.0	3.36	0.2
 30.0	32.0	39.0	40.0	86.45	0.2
 31.0	33.0	40.0	41.0	45.42	0.2
 32.0	34.0	41.0	42.0	58.34	0.2
 33.0	35.0	42.0	43.0	77.46	0.2
 1.0	3.0	11.0	13.0	23.33	0.2
 3.0	5.0	13.0	15.0	22.35	0.2
 5.0	7.0	15.0	17.0	30.93	0.2
 7.0	9.0	17.0	19.0	19.68	0.2
 9.0	11.0	19.0	21.0	21.13	0.2
 11.0	13.0	21.0	23.0	19.1	0.2
 13.0	15.0	23.0	25.0	9.49	0.2
 15.0	17.0	25.0	27.0	2645.12	0.2
 17.0	19.0	27.0	29.0	505.08	0.2
 19.0	21.0	29.0	31.0	52.6	0.2
 21.0	23.0	31.0	33.0	34.95	0.2
 23.0	25.0	33.0	35.0	3.47	0.2
 25.0	27.0	35.0	37.0	478.94	0.2
 27.0	29.0	37.0	39.0	478.94	0.2
 29.0	31.0	39.0	41.0	72.14	0.2
 31.0	33.0	41.0	43.0	46.49	0.2
 1.0	3.0	12.0	13.0	43.56	0.2
 2.0	4.0	13.0	14.0	28.25	0.2
 3.0	5.0	14.0	15.0	43.29	0.2
 4.0	6.0	15.0	16.0	50.71	0.2
 5.0	7.0	16.0	17.0	38.63	0.2
 6.0	8.0	17.0	18.0	26.53	0.2
 7.0	9.0	18.0	19.0	24.84	0.2
 8.0	10.0	19.0	20.0	32.02	0.2
 9.0	11.0	20.0	21.0	27.79	0.2
 10.0	12.0	21.0	22.0	28.4	0.2
 11.0	13.0	22.0	23.0	25.05	0.2
 12.0	14.0	23.0	24.0	18.82	0.2
 14.0	15.0	24.0	26.0	4637.7	0.2
 13.0	15.0	24.0	25.0	4.55	0.2
 15.0	16.0	25.0	27.0	6534.21	0.2
 16.0	17.0	26.0	28.0	3495.48	0.2
 17.0	18.0	27.0	29.0	1313.52	0.2
 18.0	19.0	28.0	30.0	313.64	0.2
 19.0	20.0	29.0	31.0	154.86	0.2
 20.0	21.0	30.0	32.0	86.54	0.2
 21.0	22.0	31.0	33.0	54.99	0.2
 22.0	23.0	32.0	34.0	26.15	0.2
 23.0	24.0	33.0	35.0	2.78	0.2
 24.0	25.0	34.0	36.0	4.58	0.2
 25.0	26.0	35.0	37.0	1.2	0.2
 24.0	26.0	35.0	36.0	3977.22	0.2
 25.0	27.0	36.0	37.0	4123.09	0.2
 26.0	28.0	37.0	38.0	2597.6	0.2
 27.0	29.0	38.0	39.0	1289.64	0.2
 28.0	30.0	39.0	40.0	322.52	0.2
 29.0	31.0	40.0	41.0	135.26	0.2
 30.0	32.0	41.0	42.0	164.76	0.2
