Pos      Prof       R (d)    R (i)    Rstima
 9.       6.5          nan -0.09184 -0.09184
11.       6.5          nan -0.08694 -0.08694
13.       6.5          nan -0.07015 -0.07015
17.       6.5          nan -0.07131 -0.07131
19.       6.5     -0.00295      nan -0.00295
19.       6.5          nan -0.13897 -0.13897
21.       6.5          nan -0.06835 -0.06835
25.       6.5          nan -0.28128 -0.28128
27.       6.5          nan -0.08847 -0.08847
29.       6.5          nan -0.20072 -0.20072
31.      6.5        nan -0.5033 -0.5033
33.      6.5        nan -0.2606 -0.2606
35.       6.5          nan -0.00341 -0.00341
37.       6.5          nan -0.05587 -0.05587
39.       6.5          nan -0.04449 -0.04449
41.       6.5     -2.94429      nan -2.94429
41.       6.5          nan -0.00821 -0.00821
43.       6.5     -3.42231      nan -3.42231
43.       6.5          nan -0.00114 -0.00114
45.       6.5     -0.19232      nan -0.19232
45.      6.5        nan -0.0324 -0.0324
47.       6.5     -0.25516      nan -0.25516
49.      6.5    -0.0605     nan -0.0605
51.       6.5     -0.02602      nan -0.02602
53.      6.5    -0.0085     nan -0.0085
55.       6.5     -0.00982      nan -0.00982
55.       6.5          nan -2.75456 -2.75456
57.      6.5    -0.0076     nan -0.0076
57.       6.5          nan -3.25115 -3.25115
59.       6.5          nan -0.33567 -0.33567
61.       6.5          nan -1.19366 -1.19366
63.       6.5          nan -0.89696 -0.89696
65.       6.5          nan -0.93584 -0.93584
67.       6.5     -0.29431      nan -0.29431
67.      6.5        nan -0.7509 -0.7509
69.       6.5          nan -0.13492 -0.13492
71.       6.5          nan -0.42066 -0.42066
73.       6.5          nan -0.20212 -0.20212
75.       6.5          nan -0.05094 -0.05094
77.      6.5        nan -0.2913 -0.2913
79.       6.5          nan -0.41656 -0.41656
81.       6.5          nan -0.14697 -0.14697
87.       6.5          nan -0.21577 -0.21577
10.      7.     -0.3203     nan -0.3203
26.       7.      -0.58579      nan -0.58579
42.       7.      -1.05934      nan -1.05934
50.       7.      -0.57966      nan -0.57966
58.       7.      -0.45473      nan -0.45473
66.       7.      -4.85911      nan -4.85911
74.       7.      -1.76621      nan -1.76621
10.       8.           nan -0.09456 -0.09456
12.       8.           nan -0.24555 -0.24555
14.       8.           nan -0.04494 -0.04494
18.       8.           nan -0.02395 -0.02395
20.       8.           nan -0.16845 -0.16845
22.       8.           nan -0.07585 -0.07585
26.       8.           nan -0.10356 -0.10356
28.       8.           nan -0.52676 -0.52676
30.       8.           nan -0.23905 -0.23905
34.       8.           nan -0.05464 -0.05464
36.       8.           nan -0.16236 -0.16236
38.       8.           nan -0.03275 -0.03275
42.       8.      -0.00349 -0.00313 -0.00331
44.       8.           nan -0.07086 -0.07086
46.       8.      -0.18333      nan -0.18333
50.       8.      -0.06333      nan -0.06333
54.       8.      -0.00848      nan -0.00848
58.          8.         -0.00271    -4.62251    -4.13130057
60.       8.           nan -5.24639 -5.24639
62.       8.      -0.04143 -1.06288 -0.63013
66.       8.           nan -0.63013 -0.63013
68.       8.           nan -1.79056 -1.79056
70.       8.           nan -0.18612 -0.18612
74.       8.           nan -0.12042 -0.12042
76.       8.           nan -1.27322 -1.27322
78.       8.           nan -0.14012 -0.14012
82.       8.           nan -0.15109 -0.15109
11.       8.5          nan -0.04441 -0.04441
13.       8.5          nan -0.01753 -0.01753
15.       8.5          nan -0.03771 -0.03771
19.      8.5        nan -0.0125 -0.0125
21.       8.5          nan -0.00009 -0.00009
23.       8.5          nan -0.07803 -0.07803
25.       8.5          nan -0.03155 -0.03155
27.       8.5          nan -0.05529 -0.05529
29.       8.5          nan -0.05522 -0.05522
31.       8.5          nan -0.17266 -0.17266
33.       8.5          nan -0.04094 -0.04094
35.       8.5          nan -0.03502 -0.03502
37.       8.5          nan -0.00207 -0.00207
39.       8.5     -2.34284      nan -2.34284
39.       8.5          nan -0.00955 -0.00955
41.       8.5     -2.32542      nan -2.32542
41.       8.5          nan -0.00118 -0.00118
43.      8.5    -0.3805     nan -0.3805
43.       8.5          nan -0.00644 -0.00644
45.       8.5     -0.37275      nan -0.37275
47.       8.5     -0.12768      nan -0.12768
49.       8.5     -0.04833      nan -0.04833
51.       8.5     -0.04064      nan -0.04064
53.       8.5     -0.01068      nan -0.01068
55.       8.5     -0.00336      nan -0.00336
57.       8.5     -0.00271      nan -0.00271
57.       8.5          nan -1.43091 -1.43091
59.       8.5     -0.00143      nan -0.00143
59.      8.5        nan -4.5566 -4.5566
61.       8.5          nan -0.63013 -0.63013
63.       8.5          nan -1.05093 -1.05093
65.       8.5     -0.01312      nan -0.01312
65.       8.5          nan -0.64484 -0.64484
67.       8.5          nan -0.72671 -0.72671
69.       8.5          nan -0.48351 -0.48351
71.       8.5     -0.02296      nan -0.02296
71.       8.5          nan -0.12432 -0.12432
73.       8.5          nan -0.19353 -0.19353
75.       8.5          nan -0.09875 -0.09875
77.       8.5          nan -0.01887 -0.01887
79.       8.5          nan -0.09704 -0.09704
81.       8.5          nan -0.23197 -0.23197
83.       8.5          nan -0.16246 -0.16246
12.      10.           nan -0.02481 -0.02481
16.      10.           nan -0.04142 -0.04142
20.      10.           nan -0.01828 -0.01828
24.      10.           nan -0.05951 -0.05951
28.      10.           nan -0.04887 -0.04887
32.      10.           nan -0.02088 -0.02088
36.      10.           nan -0.01663 -0.01663
40.      10.      -2.90025      nan -2.90025
44.     10.     -0.6724 -0.0039 -0.0609
48.     10.     -0.0609     nan -0.0609
52.      10.      -0.01717      nan -0.01717
56.      10.      -0.00217      nan -0.00217
